Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31.0,No,Travel_Frequently,1125.0,Research & Development,1.0,3,Life Sciences,4,Male,48,1,2,Research Scientist,1,Married,5003,5771,1,No,21,4,2,0,10,6,3,10,8,8,7
45.0,No,Travel_Frequently,1297.0,Research & Development,1.0,4,Medical,2,Male,44,3,2,Healthcare Representative,3,Single,5399,14511,4,No,12,3,3,0,12,3,3,4,2,0,3
33.0,No,Travel_Frequently,508.0,Sales,10.0,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1
36.0,No,Travel_Frequently,884.0,Research & Development,23.0,2,Medical,3,Male,41,4,2,Laboratory Technician,4,Married,2571,12290,4,No,17,3,3,1,17,3,3,5,2,0,3
33.0,No,Travel_Rarely,267.0,Research & Development,21.0,3,Medical,2,Male,79,4,1,Laboratory Technician,2,Married,2028,13637,1,No,18,3,4,3,14,6,3,14,11,2,13
31.0,No,Travel_Rarely,670.0,Research & Development,26.0,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
19.0,Yes,Travel_Frequently,602.0,Sales,1.0,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325,20989,0,No,21,4,1,0,1,5,4,0,0,0,0
32.0,No,Travel_Frequently,1311.0,Research & Development,7.0,3,Life Sciences,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,0,5,3,1,5,1,0,3
36.0,No,Non-Travel,217.0,Research & Development,18.0,4,Life Sciences,1,Male,78,3,2,Manufacturing Director,4,Single,7779,23238,2,No,20,4,1,0,18,0,3,11,9,0,9
29.0,No,Travel_Rarely,1107.0,Research & Development,28.0,4,Life Sciences,3,Female,93,3,1,Research Scientist,4,Divorced,2514,26968,4,No,22,4,1,1,11,1,3,7,5,1,7
30.0,No,Travel_Rarely,1240.0,Human Resources,9.0,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
39.0,No,Travel_Rarely,1253.0,Research & Development,10.0,1,Medical,3,Male,65,3,3,Research Director,3,Single,13464,7914,7,No,21,4,3,0,9,3,3,4,3,2,2
22.0,Yes,Travel_Rarely,1294.0,Research & Development,8.0,1,Medical,3,Female,79,3,1,Laboratory Technician,1,Married,2398,15999,1,Yes,17,3,3,0,1,6,3,1,0,0,0
31.0,No,Non-Travel,979.0,Research & Development,1.0,4,Medical,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,No,12,3,4,1,6,2,3,5,4,1,4
45.0,No,Travel_Rarely,1234.0,Sales,11.0,2,Life Sciences,4,Female,90,3,4,Manager,4,Married,17650,5404,3,No,13,3,2,1,26,4,4,9,3,1,1
42.0,No,Travel_Frequently,532.0,Research & Development,29.0,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
31.0,No,Travel_Frequently,798.0,Research & Development,7.0,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9
34.0,No,Travel_Frequently,669.0,Research & Development,1.0,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,0,No,20,4,3,0,14,3,3,13,9,4,9
33.0,No,Non-Travel,722.0,Sales,17.0,3,Life Sciences,4,Male,38,3,4,Manager,3,Single,17444,20489,1,No,11,3,4,0,10,2,3,10,8,6,0
40.0,No,Travel_Rarely,444.0,Sales,2.0,2,Marketing,2,Female,92,3,2,Sales Executive,2,Married,5677,4258,3,No,14,3,3,1,15,4,3,11,8,5,10
33.0,No,Travel_Rarely,536.0,Sales,10.0,5,Marketing,4,Male,82,4,3,Sales Executive,3,Divorced,8380,21708,0,Yes,14,3,4,2,10,3,3,9,8,0,8
34.0,No,Travel_Rarely,1400.0,Sales,9.0,1,Life Sciences,2,Female,70,3,2,Sales Executive,3,Married,5714,5829,1,No,20,4,1,0,6,3,2,6,5,1,3
34.0,No,Travel_Rarely,1397.0,Research & Development,1.0,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,No,12,3,4,1,10,4,2,10,9,8,8
30.0,No,Travel_Rarely,153.0,Research & Development,8.0,2,Life Sciences,2,Female,73,4,3,Research Director,1,Married,11416,17802,0,Yes,12,3,3,3,9,4,2,8,7,1,7
45.0,No,Non-Travel,248.0,Research & Development,23.0,2,Life Sciences,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Yes,15,3,3,1,9,2,3,9,8,0,8
37.0,No,Non-Travel,142.0,Sales,9.0,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7
31.0,No,Travel_Rarely,691.0,Sales,7.0,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7
32.0,No,Travel_Frequently,1005.0,Research & Development,2.0,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
30.0,Yes,Travel_Rarely,138.0,Research & Development,22.0,3,Life Sciences,1,Female,48,3,1,Research Scientist,3,Married,2132,11539,4,Yes,11,3,2,0,7,2,3,5,2,0,1
33.0,No,Travel_Frequently,1141.0,Sales,1.0,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
38.0,No,Travel_Rarely,168.0,Research & Development,1.0,3,Life Sciences,3,Female,81,3,3,Manufacturing Director,3,Single,7861,15397,4,Yes,14,3,4,0,10,4,4,1,0,0,0
41.0,No,Travel_Rarely,1411.0,Research & Development,19.0,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,2,17,2,2,1,0,0,0
51.0,Yes,Travel_Frequently,1150.0,Research & Development,8.0,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
38.0,No,Travel_Frequently,471.0,Research & Development,12.0,3,Life Sciences,1,Male,45,2,2,Healthcare Representative,1,Divorced,6288,4284,2,No,15,3,3,1,13,3,2,4,3,1,2
27.0,No,Travel_Rarely,728.0,Sales,23.0,1,Medical,2,Female,36,2,2,Sales Representative,3,Married,3540,7018,1,No,21,4,4,1,9,5,3,9,8,5,8
53.0,No,Travel_Rarely,102.0,Research & Development,23.0,4,Life Sciences,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,No,18,3,3,0,33,0,3,12,9,3,8
30.0,No,Travel_Rarely,1358.0,Sales,16.0,1,Life Sciences,4,Male,96,3,2,Sales Executive,3,Married,5301,2939,8,No,15,3,3,2,4,2,2,2,1,2,2
30.0,Yes,Travel_Rarely,945.0,Sales,9.0,3,Medical,2,Male,89,3,1,Sales Representative,4,Single,1081,16019,1,No,13,3,3,0,1,3,2,1,0,0,0
30.0,No,Travel_Rarely,921.0,Research & Development,1.0,3,Life Sciences,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,No,21,4,3,2,7,2,3,2,2,0,2
58.0,No,Travel_Rarely,1055.0,Research & Development,1.0,3,Medical,4,Female,76,3,5,Research Director,1,Married,19701,22456,3,Yes,21,4,3,1,32,3,3,9,8,1,5
34.0,No,Travel_Rarely,216.0,Sales,1.0,4,Marketing,2,Male,75,4,2,Sales Executive,4,Divorced,9725,12278,0,No,11,3,4,1,16,2,2,15,1,0,9
51.0,No,Travel_Rarely,1178.0,Sales,14.0,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7
39.0,No,Travel_Rarely,117.0,Research & Development,10.0,1,Medical,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10
36.0,No,Non-Travel,635.0,Sales,10.0,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7
32.0,No,Travel_Rarely,588.0,Sales,8.0,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9
56.0,No,Travel_Frequently,1240.0,Research & Development,9.0,3,Medical,1,Female,63,3,1,Research Scientist,3,Married,2942,12154,2,No,19,3,2,1,18,4,3,5,4,0,3
57.0,No,Travel_Rarely,210.0,Sales,29.0,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0
40.0,No,Travel_Rarely,804.0,Research & Development,2.0,1,Medical,4,Female,86,2,1,Research Scientist,4,Single,2342,22929,0,Yes,20,4,4,0,5,2,2,4,2,2,3
23.0,Yes,Travel_Frequently,638.0,Sales,9.0,3,Marketing,4,Male,33,3,1,Sales Representative,1,Married,1790,26956,1,No,19,3,1,1,1,3,2,1,0,1,0
53.0,No,Travel_Rarely,1395.0,Research & Development,24.0,4,Medical,2,Male,48,4,3,Healthcare Representative,4,Married,7005,3458,3,No,15,3,3,0,11,2,3,4,3,1,2
38.0,No,Travel_Frequently,148.0,Research & Development,2.0,3,Medical,4,Female,42,2,1,Laboratory Technician,2,Single,2440,23826,1,No,22,4,2,0,4,3,3,4,3,3,3
36.0,No,Travel_Rarely,1041.0,Human Resources,13.0,3,Human Resources,3,Male,36,3,1,Human Resources,2,Married,2143,25527,4,No,13,3,2,1,8,2,3,5,2,0,4
29.0,No,Travel_Frequently,1413.0,Sales,1.0,1,Medical,2,Female,42,3,3,Sales Executive,4,Married,7918,6599,1,No,14,3,4,1,11,5,3,11,10,4,1
38.0,No,Travel_Rarely,201.0,Research & Development,10.0,3,Medical,2,Female,99,1,3,Research Director,3,Married,13206,3376,3,No,12,3,1,1,20,3,3,18,16,1,11
47.0,No,Travel_Rarely,1180.0,Research & Development,25.0,3,Medical,1,Male,84,3,3,Healthcare Representative,3,Single,8633,13084,2,No,23,4,2,0,25,3,3,17,14,12,11
32.0,Yes,Travel_Rarely,1089.0,Research & Development,7.0,2,Life Sciences,4,Male,79,3,2,Laboratory Technician,3,Married,4883,22845,1,No,18,3,1,1,10,3,3,10,4,1,1
36.0,No,Travel_Frequently,1195.0,Research & Development,11.0,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
49.0,Yes,Travel_Frequently,1475.0,Research & Development,28.0,2,Life Sciences,1,Male,97,2,2,Laboratory Technician,1,Single,4284,22710,3,No,20,4,1,0,20,2,3,4,3,1,3
34.0,No,Travel_Rarely,121.0,Research & Development,2.0,4,Medical,3,Female,86,2,1,Research Scientist,1,Single,4381,7530,1,No,11,3,3,0,6,3,3,6,5,1,3
39.0,No,Travel_Rarely,524.0,Research & Development,18.0,2,Life Sciences,1,Male,32,3,2,Manufacturing Director,3,Single,4534,13352,0,No,11,3,1,0,9,6,3,8,7,1,7
30.0,No,Non-Travel,829.0,Research & Development,1.0,1,Life Sciences,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,No,22,4,3,0,12,2,3,11,8,5,8
51.0,No,Travel_Frequently,541.0,Sales,2.0,3,Marketing,2,Male,52,3,3,Sales Executive,2,Married,10596,15395,2,No,11,3,2,0,14,5,3,4,2,3,2
60.0,No,Travel_Rarely,1179.0,Sales,16.0,4,Marketing,1,Male,84,3,2,Sales Executive,1,Single,5405,11924,8,No,14,3,4,0,10,1,3,2,2,2,2
50.0,Yes,Travel_Frequently,878.0,Sales,1.0,4,Life Sciences,2,Male,94,3,2,Sales Executive,3,Divorced,6728,14255,7,No,12,3,4,2,12,3,3,6,3,0,1
56.0,No,Travel_Rarely,1400.0,Research & Development,7.0,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
46.0,No,Travel_Rarely,706.0,Research & Development,2.0,2,Life Sciences,4,Male,82,3,3,Manufacturing Director,4,Divorced,8578,19989,3,No,14,3,3,1,12,4,2,9,8,4,7
42.0,No,Travel_Rarely,855.0,Research & Development,12.0,3,Medical,2,Male,57,3,1,Laboratory Technician,2,Divorced,2766,8952,8,No,22,4,2,3,7,6,2,5,3,0,4
53.0,Yes,Travel_Rarely,607.0,Research & Development,2.0,5,Technical Degree,3,Female,78,2,3,Manufacturing Director,4,Married,10169,14618,0,No,16,3,2,1,34,4,3,33,7,1,9
39.0,No,Travel_Rarely,867.0,Research & Development,9.0,2,Medical,1,Male,87,3,2,Manufacturing Director,1,Married,5151,12315,1,No,25,4,4,1,10,3,3,10,0,7,9
48.0,No,Travel_Rarely,1224.0,Research & Development,10.0,3,Life Sciences,4,Male,91,2,5,Research Director,2,Married,19665,13583,4,No,12,3,4,0,29,3,3,22,10,12,9
37.0,No,Travel_Rarely,228.0,Sales,6.0,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,1,7,5,4,5,4,0,1
41.0,No,Travel_Frequently,1200.0,Research & Development,22.0,3,Life Sciences,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,3,Yes,14,3,1,2,12,4,2,6,2,3,3
21.0,No,Non-Travel,895.0,Sales,9.0,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2
32.0,No,Travel_Rarely,117.0,Sales,13.0,4,Life Sciences,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,2,No,11,3,3,1,8,3,2,5,2,0,3
37.0,Yes,Travel_Rarely,1373.0,Research & Development,2.0,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
45.0,No,Travel_Frequently,1249.0,Research & Development,7.0,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11
41.0,No,Travel_Rarely,896.0,Sales,6.0,3,Life Sciences,4,Female,75,3,3,Manager,4,Single,13591,14674,3,Yes,18,3,3,0,16,3,3,1,0,0,0
42.0,No,Travel_Rarely,603.0,Research & Development,7.0,4,Medical,2,Female,78,4,2,Research Scientist,2,Married,2372,5628,6,Yes,16,3,4,0,18,2,3,1,0,0,0
42.0,No,Travel_Rarely,691.0,Sales,8.0,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
24.0,No,Non-Travel,830.0,Sales,13.0,2,Life Sciences,4,Female,78,3,1,Sales Representative,2,Married,2033,7103,1,No,13,3,3,1,1,2,3,1,0,0,0
33.0,Yes,Travel_Rarely,603.0,Sales,9.0,4,Marketing,1,Female,77,3,2,Sales Executive,1,Single,8224,18385,0,Yes,17,3,1,0,6,3,3,5,2,0,3
